category_id,name
00-68,00-68
00A69,00A69
00Axx,00Axx
03,03
03A05,03A05
03B05,03B05
03B35,03B35
03B47,03B47
03B65,03B65
03B65 (Primary) 03C30 (Secondary),03B65 (Primary) 03C30 (Secondary)
03B65 (Primary) 91F20 (Secundary),03B65 (Primary) 91F20 (Secundary)
03B65(Primary) 68T50(Secondary),03B65(Primary) 68T50(Secondary)
03B70,03B70
03D05,03D05
03D75,03D75
05-08,05-08
14J30 (Primary),14J30 (Primary)
14J60,14J60
15-04,15-04
15A23 (Primary),15A23 (Primary)
15A69,15A69
20B07,20B07
28-08,28-08
46-04,46-04
49Q22,49Q22
51M10,51M10
53,53
53-04,53-04
55N31,55N31
55U10,55U10
60-08,60-08
60L10,60L10
62,62
62-04,62-04
62-08,62-08
62D20,62D20
62F15,62F15
62Fxx,62Fxx
62G10,62G10
62H30,62H30
62M10,62M10
62M45,62M45
62P25,62P25
62P99,62P99
62R07,62R07
65D19,65D19
68,68
68-02,68-02
68-02 68T50 68T07 91D30,68-02 68T50 68T07 91D30
68-04,68-04
68-06,68-06
68-11,68-11
68.U99,68.U99
68M14,68M14
68M20 (Primary) 62G10 (Secondary),68M20 (Primary) 62G10 (Secondary)
68N15,68N15
68N20,68N20
68N30 (Primary) 68T50 (Secondary),68N30 (Primary) 68T50 (Secondary)
68P20,68P20
68Q15,68Q15
68Q42,68Q42
68Q42 (Primary),68Q42 (Primary)
68Q45,68Q45
68Q55,68Q55
68R10 (Primary) 05C85 (Secondary),68R10 (Primary) 05C85 (Secondary)
68R12,68R12
68T01,68T01
68T01 General topics in artificial intelligence,68T01 General topics in artificial intelligence
68T05,68T05
68T06,68T06
68T07,68T07
68T07 68T50,68T07 68T50
68T10,68T10
68T10 (Primary) 68T50,68T10 (Primary) 68T50
68T10 (Primary) 92C55 (Secondary),68T10 (Primary) 92C55 (Secondary)
68T20,68T20
68T27,68T27
68T30,68T30
68T30 (Primary) 68T50 (Secondary),68T30 (Primary) 68T50 (Secondary)
68T30 (primary),68T30 (primary)
68T35,68T35
68T35 (Primary),68T35 (Primary)
68T37,68T37
68T40,68T40
68T42,68T42
68T45,68T45
68T5,68T5
68T50,68T50
68T50 (Primary),68T50 (Primary)
68T50 (Primary) 62P15 (Secondary),68T50 (Primary) 62P15 (Secondary)
68T50 (Primary) 62P25 (Secondary),68T50 (Primary) 62P25 (Secondary)
68T50 (Primary) 68T07 (Secondary),68T50 (Primary) 68T07 (Secondary)
68T50 (Primary) 68T37 (Secondary),68T50 (Primary) 68T37 (Secondary)
68T50 (Primary) 68T99 (Secondary),68T50 (Primary) 68T99 (Secondary)
68T50 (Primary) 91F20 (Secondary),68T50 (Primary) 91F20 (Secondary)
68T99,68T99
68Txx,68Txx
68U01,68U01
68U15,68U15
68U15 (primary),68U15 (primary)
68U35,68U35
68U99,68U99
68Uxx,68Uxx
68V30,68V30
68W99,68W99
8.2.D.2.5,8.2.D.2.5
91-08,91-08
91-10,91-10
91A86,91A86
91C99,91C99
91E10,91E10
91E45,91E45
91F10,91F10
91F10 (Primary) 68T50 (Secondary),91F10 (Primary) 68T50 (Secondary)
91F20,91F20
92,92
92-10,92-10
92-11,92-11
92B20,92B20
94,94
94-06,94-06
94A05,94A05
94A15,94A15
94A17 (Primary) 62B10 (Secondary),94A17 (Primary) 62B10 (Secondary)
94A29,94A29
94AXX,94AXX
97B10,97B10
97K50,97K50
97R40,97R40
A.1,A.1
A.2,A.2
A.m,A.m
ACM-class: I.2.0,ACM-class: I.2.0
ACM-class: I.2.2,ACM-class: I.2.2
ACM-class: J.2,ACM-class: J.2
ACM-class: J.m,ACM-class: J.m
B.1.4,B.1.4
C.4,C.4
C.m,C.m
Computation and Language (cs.CL),Computation and Language (cs.CL)
D.1.0,D.1.0
D.2.13,D.2.13
D.2.3,D.2.3
D.3,D.3
D.3.3,D.3.3
D.3.4,D.3.4
E.0,E.0
E.1,E.1
E.2,E.2
E.4,E.4
F.1.1,F.1.1
F.2.1,F.2.1
F.2.2,F.2.2
F.2.3,F.2.3
F.3.2,F.3.2
F.4,F.4
F.4.0,F.4.0
F.4.1,F.4.1
F.4.3,F.4.3
G.2.1,G.2.1
G.2.2,G.2.2
G.3,G.3
H.0,H.0
H.2.4,H.2.4
H.2.8,H.2.8
H.2.m,H.2.m
H.3,H.3
H.3.0,H.3.0
H.3.1,H.3.1
H.3.3,H.3.3
H.3.4,H.3.4
H.3.5,H.3.5
H.3.7,H.3.7
H.4,H.4
H.4.0,H.4.0
H.4.3,H.4.3
H.4.4,H.4.4
H.4.m,H.4.m
H.5,H.5
H.5.0,H.5.0
H.5.1,H.5.1
H.5.2,H.5.2
H.5.3,H.5.3
H.5.5,H.5.5
H.5.m,H.5.m
H.m,H.m
I.1.2,I.1.2
I.1.3,I.1.3
I.1.4,I.1.4
I.2,I.2
I.2 I.5,I.2 I.5
I.2.0,I.2.0
I.2.1,I.2.1
I.2.10,I.2.10
I.2.11,I.2.11
I.2.2,I.2.2
I.2.3,I.2.3
I.2.4,I.2.4
I.2.5,I.2.5
I.2.6,I.2.6
I.2.7,I.2.7
I.2.8,I.2.8
I.2.9,I.2.9
I.2.m,I.2.m
I.3.6,I.3.6
I.3.8,I.3.8
I.4.0,I.4.0
I.4.8,I.4.8
I.5,I.5
I.5.1,I.5.1
I.5.4,I.5.4
I.7,I.7
I.7.0,I.7.0
I.7.1,I.7.1
I.7.2,I.7.2
I.7.m,I.7.m
I2,I2
IEEE,IEEE
J.3,J.3
J.4,J.4
J.5,J.5
J.5.5,J.5.5
J.6,J.6
J.m,J.m
K.3,K.3
K.3.2,K.3.2
K.4,K.4
K.4.1,K.4.1
K.4.2,K.4.2
K.4.m,K.4.m
K.5,K.5
K.5.0,K.5.0
K.6.3,K.6.3
K.6.5,K.6.5
K.m,K.m
NLP,NLP
Natural language processing,Natural language processing
TsingHua University,TsingHua University
astro-ph.CO,astro-ph.CO
astro-ph.EP,astro-ph.EP
astro-ph.GA,astro-ph.GA
astro-ph.HE,astro-ph.HE
astro-ph.IM,astro-ph.IM
astro-ph.SR,astro-ph.SR
cc:68T50,cc:68T50
cond-mat.dis-nn,cond-mat.dis-nn
cond-mat.mes-hall,cond-mat.mes-hall
cond-mat.mtrl-sci,cond-mat.mtrl-sci
cond-mat.soft,cond-mat.soft
cond-mat.stat-mech,cond-mat.stat-mech
cond-mat.str-el,cond-mat.str-el
cond-mat.supr-con,cond-mat.supr-con
cs-CL,cs-CL
cs.AI,cs.AI
cs.AR,cs.AR
cs.CC,cs.CC
cs.CE,cs.CE
cs.CG,cs.CG
cs.CL,cs.CL
cs.CR,cs.CR
cs.CV,cs.CV
cs.CY,cs.CY
cs.DB,cs.DB
cs.DC,cs.DC
cs.DL,cs.DL
cs.DM,cs.DM
cs.DS,cs.DS
cs.ET,cs.ET
cs.FL,cs.FL
cs.GL,cs.GL
cs.GR,cs.GR
cs.GT,cs.GT
