org_id,country_id
o7335,c142
o5981,c74
o380,c142
o8590,c13
o1254,c29
o2730,c29
o3109,c143
o4617,c65
o9397,c115
o11469,c72
o6136,c160
o6445,c65
o7080,c117
o9854,c7
o7169,c29
o6839,c27
o7994,c29
o1230,c29
o12081,c142
o2314,c160
o3907,c160
o1162,c71
o702,c29
o11506,c56
o10118,c29
o1547,c143
o9258,c29
o5978,c53
o5268,c157
o6134,c29
o9269,c68
o10390,c160
o6339,c72
o5507,c160
o8832,c27
o216,c8
o7301,c89
o8023,c29
o4551,c70
o4667,c65
o12054,c160
o5161,c159
o11252,c97
o7023,c160
o5071,c29
o1507,c68
o5859,c132
o5604,c29
o4765,c123
o1599,c160
o5728,c74
o7573,c160
o5757,c152
o4263,c65
o127,c53
o3699,c146
o5088,c147
o8617,c8
o5603,c65
o3778,c53
o8569,c132
o5527,c160
o7286,c54
o11574,c147
o10110,c160
o12153,c29
o3974,c29
o6293,c27
o12467,c13
o345,c122
o7070,c29
o3512,c72
o892,c152
o3839,c74
o7373,c117
o11897,c65
o8912,c160
o8852,c122
o6771,c29
o4778,c65
o11432,c7
o9522,c74
o6622,c53
o2656,c53
o10886,c72
o8522,c160
o8125,c53
o8090,c29
o8117,c156
o7824,c149
o412,c112
o4072,c53
o294,c159
o4813,c51
o11121,c70
o4739,c160
o12344,c160
o3604,c29
o4444,c29
o7275,c29
o2175,c142
o9292,c29
o6097,c51
o3314,c8
o9875,c66
o7530,c29
o2586,c29
o1180,c29
o166,c72
o788,c56
o5360,c29
o12202,c29
o6027,c65
o11612,c103
o2686,c160
o10670,c18
o4927,c142
o9915,c18
o4856,c51
o5080,c53
o5287,c160
o5654,c160
o11244,c160
o3834,c160
o5282,c29
o2461,c160
o10905,c160
o6598,c160
o9539,c160
o2971,c160
o4023,c65
o238,c51
o968,c160
o11264,c115
o11509,c128
o8304,c29
o7889,c142
o2994,c51
o7350,c150
o2412,c68
o8041,c7
o10129,c160
o6112,c160
o4718,c66
o12097,c143
o6114,c160
o1689,c150
o1514,c160
o1887,c159
o4794,c29
o6584,c29
o7107,c160
o10241,c29
o1038,c159
o3611,c160
o7776,c71
o4639,c65
o4825,c51
o2320,c160
o8427,c65
o1161,c160
o367,c65
o9898,c18
o5600,c53
o10357,c18
o2099,c29
o3608,c160
o9387,c8
o2987,c53
o11149,c53
o2664,c160
o3338,c74
o3184,c51
o1931,c99
o7441,c63
o1173,c29
o11935,c7
o3926,c29
o795,c53
o509,c69
o1123,c160
o6575,c70
o2115,c143
o5073,c65
o7724,c160
o1167,c159
o2241,c147
o4170,c29
o6075,c142
o11462,c160
o6328,c27
o1014,c160
o5110,c150
o9306,c29
o5671,c160
o3073,c160
o10131,c160
o12262,c29
o4888,c53
o6127,c112
o1396,c160
o9006,c163
o10346,c29
o159,c29
o11989,c29
o9195,c29
o5844,c142
o11361,c11
o1667,c152
o11233,c7
o9112,c160
o2659,c129
o4733,c169
o9500,c29
o790,c56
o4396,c51
o6268,c142
o4295,c53
o5051,c18
o3288,c72
o2226,c160
o8283,c74
o10757,c51
o11472,c74
o8243,c65
o9696,c29
o1557,c136
o12187,c29
o11464,c51
o6456,c65
o10148,c159
o4084,c29
o5120,c74
o8272,c72
o11388,c4
o7417,c160
o10479,c160
o5257,c5
o4424,c29
o11168,c160
o3919,c108
o7052,c51
o4598,c146
o327,c65
o12327,c29
o3674,c156
o623,c74
o5821,c29
o5070,c29
o2993,c65
o10259,c129
o6489,c29
o5650,c139
o1287,c159
o5638,c51
o11940,c160
o5202,c5
o11959,c160
o7815,c147
o2702,c136
o2565,c35
o10643,c18
o6048,c53
o5467,c72
o11659,c13
o3746,c27
o4466,c42
o11272,c72
o4847,c51
o1424,c160
o12249,c65
o11718,c74
o6159,c142
o8905,c29
o1675,c114
o5579,c29
o11849,c169
o12222,c160
o5903,c53
o5842,c53
o626,c27
o10385,c74
o3756,c53
o6925,c160
o1243,c29
o4064,c65
o4632,c65
o2379,c51
o9679,c66
o817,c65
o2620,c147
o7434,c153
o1952,c99
o2961,c70
o8929,c160
o9652,c160
o10824,c51
o11978,c108
o6769,c160
o9537,c29
o1562,c117
o4742,c99
o11161,c139
o8300,c160
o1665,c53
o1577,c143
o4533,c115
o8726,c160
o6095,c51
o11126,c13
o3567,c51
o5851,c7
o10718,c94
o11601,c51
o6772,c65
o8198,c18
o6488,c160
o4688,c65
o591,c160
o3896,c169
o10190,c160
o4422,c29
o4377,c60
o10160,c29
o4846,c51
o4775,c50
o9675,c29
o12060,c27
o207,c54
o8200,c18
o838,c29
o10108,c160
o4510,c51
o6231,c53
o7462,c51
o2429,c160
o56,c29
o4082,c142
o5730,c65
o6828,c29
o8719,c37
o5829,c29
o3738,c53
o2503,c160
o5115,c11
o4870,c65
o11260,c160
o11234,c123
o8896,c8
o9035,c129
o3328,c57
o5372,c27
o1671,c27
o2035,c160
o11772,c160
o354,c70
o3258,c72
o5770,c66
o99,c29
o10540,c160
o12498,c157
o11949,c160
o9137,c29
o7365,c117
o10163,c160
o5511,c160
o6824,c143
o5988,c65
o1310,c53
o10166,c33
o3295,c160
o6756,c29
o2573,c65
o12062,c159
o5718,c142
o12061,c159
o5826,c29
o8520,c51
o8539,c160
o12503,c51
o4864,c29
o1416,c51
o3597,c160
o932,c160
o1829,c29
o4635,c65
o3409,c18
o2378,c5
o955,c8
o6864,c74
o7563,c74
o3931,c29
o12009,c29
o320,c65
o12352,c29
o2221,c160
o1557,c27
o939,c160
o8027,c65
o999,c9
o295,c159
o4684,c66
o4737,c117
