org_id,name
o1,01.ai
o2,100 Worte Sprachanalyse GmbH
o3,1000 Worte Sprachanalyse GmbH
o4,101.ai
o5,10x Genomics
o6,126.com
o7,13m Health Information Systems
o8,160 Decibels Inc.
o9,163.com
o10,17zuoye.com
o11,1984.ai
o12,1AI
o13,1AI21 Labs
o14,1AIM
o15,1AIM Intelligence
o16,1ASRC Federal
o17,1BJIT Limited
o18,1BKAI
o19,1ByteFuse 2EE Engineering
o20,1COAI Group
o21,1Channel Corporation
o22,1Character Inc.
o23,1DPG Media
o24,1EasyRecrue
o25,1Element AI
o26,1FI Group
o27,1GRG Banking Equipment Co. Ltd
o28,1GS Neotek
o29,1Inf Technology Shanghai Co. Ltd.
o30,1KE Holdings Inc.
o31,1Line Works Corporation
o32,1MBZUAI
o33,1ML
o34,1MTS AI
o35,1Mindverse
o36,1PAAIR Institute
o37,1PSG College
o38,1Pulse
o39,1QIYUAN Technology
o40,1RIID
o41,"1RINNA Co., Ltd."
o42,1SK Telecom
o43,1Scale AI
o44,1Theta Health Inc.
o45,1VJ Technologies
o46,1Z AGI Labs
o47,1ailly.ai
o48,1bup Solutions
o49,1ck 12 Foundation
o50,1cmkl University
o51,1dicta
o52,1dp Technology
o53,1drimco GmbH
o54,1eques Inc.
o55,1g42 Healthcare
o56,1hit
o57,1idea Research
o58,1imean AI
o59,1in.ai
o60,1inFly Tech
o61,1ipai
o62,1jd
o63,1l3s Research Center
o64,1lg
o65,1line Corporation
o66,1ly Corp
o67,1ly Corporation
o68,1mics
o69,1miðeind ehf.
o70,1nyra Health GmbH
o71,1prhlt
o72,1qurrent AI
o73,1s2w Inc.
o74,1sb intuitions
o75,1scads.ai
o76,1se+ai
o77,1silo AI
o78,1stc Innovations Ltd
o79,"1stmashang Consumer Finance Co., Ltd."
o80,1tal Education Group
o81,1tng Technology Consulting GmbH
o82,1x2robot
o83,201.ai
o84,2077ai
o85,20th Century Fox Film Corporation
o86,247.ai
o87,26Estates Pte Ltd
o88,273 Ventures
o89,2BMS College of Engineering
o90,2Bytes Corp.
o91,2Foyer S.A.
o92,2ai for science
o93,2aitrics
o94,2aj Technologies
o95,2cis
o96,2cruces University Hospital
o97,2eschbach GmbH
o98,2modl.ai
o99,2senseauto
o100,2ssp
o101,301.ai
o102,360 AI Institute
o103,360 AI Research Institute
o104,360 China
o105,360 Digitech
o106,36Estates Pte Ltd
o107,3B Group
o108,3DS Outscale
o109,3M
o110,3PC GmbH
o111,3PC GmbH Neue Kommunikation
o112,3S Group
o113,42dot Inc
o114,42dot Inc.
o115,42maru Inc.
o116,442dot Inc.
o117,498connect
o118,4Paradigm
o119,4Paradigm Inc
o120,4com
o121,501.ai
o122,5Y Capital
o123,601.ai
o124,6estates Pte Ltd
o125,7amleh
o126,7amleh Center
o127,A Preprint Hits GmbH
o128,A SCI AI
o129,A*STAR
o130,A.P. Ershov Institute of Informatics Systems
o131,A273 Ventures LLC
o132,AAAR
o133,AADAPT
o134,AAIG
o135,ABACWS
o136,ABB Robotics
o137,ABBYY
o138,ABC News
o139,ABEX
o140,ABSHOR (Advanced Bio-Sensing and Health Optimization Research)
o141,ACEIBAL
o142,"ACT, Inc."
o143,ADN Corp
o144,ADOC
o145,AE Studio
o146,AFAS Software
o147,AGC Inc
o148,AGC Inc.
o149,AGH University of Science and Technology
o150,AGI Foundation
o151,AGI Odyssey
o152,AHEPA University Hospital
o153,AHI Fintech Inc.
o154,AI Agent Lab
o155,AI Amplified
o156,AI Cyber Institute
o157,AI Cyprus Ethical Novelties Ltd
o158,AI Engineering
o159,AI Finance
o160,AI Foundation
o161,AI Foundation and Algorithm Lab
o162,AI Founded Inc.
o163,AI Innovation Center
o164,AI Institute
o165,AI Lab
o166,AI Labs
o167,AI Native Health
o168,AI PAI
o169,AI Planet
o170,AI Quality Testing Hub
o171,AI Redefined Inc
o172,AI Research Center
o173,AI Research Center for Medical Image Analysis and Diagnosis
o174,AI Research Institute
o175,AI Research Lab
o176,AI Risk and Vulnerability Alliance
o177,AI Safety Hub
o178,AI Saturdays
o179,AI Sciences Target Corporation
o180,AI Security Lab
o181,AI Shift Inc.
o182,AI Spacetime
o183,AI Speech Co. Ltd.
o184,AI Sweden
o185,AI Tech Ethics
o186,AI Waves
o187,AI Zwei Inc.
o188,AI Zwei Tech
o189,AI and Big Data International Cooperation Joint Laboratory
o190,AI for Animals
o191,AI for Health Institute
o192,AI for People and Society (AI4People)
o193,AI for Science Institute
o194,AI for the Common Good Institute
o195,AI21 Labs
o196,AI4Biomed Lab
o197,AI4D Africa
o198,AI4D African Language Program
o199,AI4DEV
o200,AI4Finance Foundation
o201,AI4Innov
o202,AI4Innovr
o203,AI4STEM
o204,AIGCODE
o205,AIIT
o206,AIM Intelligence
o207,AIMLCamp
o208,AIOLA Research
o209,AIOS Foundation
o210,AIPHES
o211,AIPixel Inc.
o212,AIRO Lab
o213,AIRS Company
o214,AIRUDI
o215,AISTRUCX Technologies
o216,AIT Austrian Institute of Technology
o217,AITMO University
o218,AITRICS
o219,AIVA Technologies
o220,AIVI CAM
o221,AIWaves Inc.
o222,AIXCODER
o223,AIXPLAIN
o224,AImotion Bavaria
o225,AKSW
o226,AKSW Research Group
o227,AL3S Research Center
o228,ALANNAI
o229,AMA International University
o230,AMHR Lab
o231,AMS
o232,AMap
o233,AMiner
o234,ANID
o235,"ANSYS, Inc."
o236,AP HP
o237,AP-HP
o238,APAVI
o239,APEC Travel
o240,APJ Abdul Kalam Technological University
o241,"APTima, Inc."
o242,AQA (Association for Quality Assurance)
o243,AQR Capital Management LLC
o244,ARB Research
o245,ARBML
o246,ARC Centre of Excellence for All-Sky Astrophysics in 3 Dimensions (ASTRO 3D)
o247,ARC Centre of Excellence for Mathematical and Statistical Frontiers (ACeMS)
o248,ARC Centre of Excellence for the Dynamics of Language
o249,ARC Institute
o250,ARC Market
o251,ARC Research Hub for Australian Steel Innovation
o252,ARCEE
o253,ARCEE AI
o254,ARM Inc.
o255,ARM Limited
o256,ARM SoftTech
o257,ARYAX AI
o258,AS Innovation Ventures
o259,ASAPP
o260,ASAPP Inc
o261,ASAS
o262,ASAS AI
o263,ASCII Corporation
o264,ASELSAN
o265,ASOS
o266,ASPIA Space
o267,ASUS
o268,ASUS Global Pte. Ltd.
o269,AT&T
o270,ATCS Research
o271,ATILF
o272,ATS RELAB
o273,AVLino Inc.
o274,AXA
o275,AXB Research
o276,Aadvantx Technological Foundation
o277,Aalborg University
o278,Aalen University
o279,Aalto University
o280,Aanswer AI
o281,Aarhus University
o282,Aarhus University Hospital
o283,Aarya Legal
o284,Abacus AI
o285,Abacus.AI
o286,Abaka AI
o287,Abasyn University
o288,AbbVie
o289,Abbasyn University
o290,Abbott Laboratories
o291,Abdelhamid Mehri University
o292,Aberdeen Institute
o293,Aberdeen University
o294,Abertay University
o295,Aberystwyth University
o296,Abilene Christian University
o297,Abjad Ltd.
o298,Able Medical
o299,Abridge AI
o300,Abridge AI Inc
o301,Abstractive Health
o302,Abu Dhabi Arabic Language Centre
o303,Abu Dhabi Investment Authority
o304,Abu Dhabi University
o305,Academia Sinica
o306,"Academic Center for Education, Culture and Research (ACECR)"
o307,Academic Computer Centre Cyfronet
o308,Academies of Loudoun
o309,Academy
o310,Academy Community
o311,Academy of Cyber
o312,Academy of Emerging Sciences
o313,Academy of Forensic Science
o314,Academy of Mathematics and Systems Science
o315,Academy of Mathematics and Systems Sciences
