entity_id,country_id
e1,c136
e1,c160
e1,c53
e10,c160
e10,c18
e10,c27
e10,c29
e10,c51
e10,c72
e10,c74
e100031,c160
e100031,c30
e10004,c142
e10004,c159
e10004,c74
e10005,c108
e10005,c136
e10005,c51
e10006,c153
e100075,c29
e100077,c29
e100078,c29
e100082,c159
e100082,c29
e100085,c160
e100085,c27
e100085,c29
e100085,c51
e100085,c65
e100094,c160
e100094,c29
e100096,c160
e100096,c29
e100097,c160
e100097,c29
e100102,c169
e100117,c147
e100121,c108
e100121,c115
e100121,c122
e100121,c123
e100121,c128
e100121,c129
e100121,c136
e100121,c142
e100121,c143
e100121,c144
e100121,c146
e100121,c147
e100121,c157
e100121,c159
e100121,c160
e100121,c163
e100121,c169
e100121,c18
e100121,c27
e100121,c29
e100121,c37
e100121,c51
e100121,c53
e100121,c56
e100121,c60
e100121,c65
e100121,c68
e100121,c7
e100121,c70
e100121,c72
e100121,c74
e100121,c91
e100124,c160
e10015,c108
e10015,c123
e10015,c128
e10015,c142
e10015,c146
e10015,c147
e10015,c150
e10015,c159
e10015,c160
e10015,c169
e10015,c18
e10015,c27
e10015,c29
e10015,c42
e10015,c51
e10015,c53
e10015,c65
e10015,c70
e10015,c71
e10015,c74
e10015,c8
e100153,c160
e10016,c160
e10016,c27
e10017,c160
e10017,c27
e100172,c160
e100181,c160
e100204,c160
e100214,c160
e100221,c108
e100221,c136
e100221,c159
e100221,c7
e100225,c160
e100225,c53
e100225,c7
e100233,c159
e100256,c159
e100256,c160
e100256,c65
e100256,c74
e100273,c159
e100273,c65
e100284,c159
e100284,c27
e100284,c53
e100284,c65
e100292,c159
e1003,c103
e1003,c105
e1003,c107
e1003,c108
e1003,c109
e1003,c11
e1003,c112
e1003,c114
e1003,c115
e1003,c116
e1003,c117
e1003,c118
e1003,c120
e1003,c121
e1003,c122
e1003,c123
e1003,c126
e1003,c128
e1003,c129
e1003,c13
e1003,c132
e1003,c134
e1003,c136
e1003,c138
e1003,c139
e1003,c141
e1003,c142
e1003,c143
e1003,c144
e1003,c145
e1003,c146
e1003,c147
e1003,c150
e1003,c152
e1003,c153
e1003,c157
e1003,c158
e1003,c159
e1003,c160
e1003,c162
e1003,c163
e1003,c169
e1003,c172
e1003,c18
e1003,c21
e1003,c24
e1003,c27
e1003,c28
e1003,c29
e1003,c30
e1003,c32
e1003,c33
e1003,c34
e1003,c35
e1003,c37
e1003,c4
e1003,c41
e1003,c42
e1003,c43
e1003,c44
e1003,c46
e1003,c5
e1003,c50
e1003,c51
e1003,c53
e1003,c54
e1003,c56
e1003,c58
e1003,c6
e1003,c60
e1003,c63
e1003,c64
e1003,c65
e1003,c66
e1003,c68
e1003,c69
e1003,c7
e1003,c70
e1003,c71
e1003,c72
e1003,c74
e1003,c75
e1003,c76
e1003,c79
e1003,c8
e1003,c80
e1003,c84
e1003,c87
e1003,c88
e1003,c89
e1003,c91
e1003,c94
e1003,c95
e1003,c96
e1003,c99
e10030,c136
e10030,c147
e10030,c160
e10030,c29
e10030,c51
e10030,c53
e10030,c74
e100321,c141
e100321,c53
e100325,c159
e100326,c159
e100329,c159
e100329,c29
e10033,c108
e100330,c159
e100340,c159
e100340,c160
e100347,c147
e100347,c29
e100354,c160
e100356,c160
e100356,c29
e100372,c8
e10038,c72
e100387,c160
e100390,c159
e100390,c160
e100390,c27
e100390,c29
e100402,c160
e100402,c29
e100406,c160
e100419,c160
e10044,c160
e100441,c146
e100441,c159
e100441,c160
e100441,c53
e100447,c160
e100447,c65
e100453,c142
e100453,c147
e100453,c159
e100453,c160
e100453,c44
e100453,c53
e100453,c65
e100453,c74
e100460,c136
e100460,c160
e100460,c29
e100463,c160
e100463,c71
e100464,c108
e100464,c128
e100464,c13
e100464,c136
e100464,c146
e100464,c160
e100464,c29
e100464,c37
e100464,c51
e100464,c71
e100466,c136
e100466,c169
e100469,c160
e100476,c132
e100476,c136
e100476,c142
e100476,c147
e100476,c159
e100476,c160
e100476,c169
e100476,c27
e100476,c29
e100476,c34
e100476,c51
e100476,c60
e100476,c71
e100498,c51
e100498,c65
e1005,c160
e10052,c128
e100526,c160
e100528,c160
e100533,c29
e100539,c147
e100539,c160
e100539,c29
e100539,c72
e100539,c89
e10054,c13
e100548,c160
e100548,c29
e10055,c13
e100580,c136
e100580,c159
e100580,c29
e100580,c53
e100582,c50
e100583,c50
e100585,c50
e100589,c50
e100590,c50
e100594,c29
e100607,c160
e100607,c163
e100607,c29
e100607,c53
e100607,c8
e100612,c160
e100613,c160
e100614,c160
e100621,c158
e100628,c158
e10063,c50
e10063,c51
e10065,c51
e100675,c51
e100677,c160
e100677,c51
e10068,c114
e10068,c129
e10068,c136
e10068,c141
e10068,c144
e10068,c160
e10068,c169
e10068,c27
e10068,c53
e10068,c8
e10068,c99
e10069,c129
e10069,c141
e100696,c160
e100708,c65
e100709,c65
e100710,c65
e100714,c65
e100721,c65
e100722,c65
e100738,c65
e100744,c65
e100746,c65
e100748,c65
e10075,c108
e10075,c11
e10075,c114
e10075,c115
e10075,c117
e10075,c120
e10075,c122
e10075,c123
e10075,c126
e10075,c128
e10075,c129
e10075,c13
e10075,c132
e10075,c136
e10075,c139
e10075,c141
e10075,c142
e10075,c143
e10075,c146
e10075,c147
e10075,c150
e10075,c153
e10075,c157
e10075,c159
e10075,c160
e10075,c162
e10075,c163
e10075,c169
e10075,c18
e10075,c27
e10075,c29
e10075,c34
e10075,c37
e10075,c50
e10075,c51
e10075,c53
e10075,c56
e10075,c6
e10075,c60
e10075,c65
e10075,c66
e10075,c68
e10075,c7
e10075,c70
e10075,c71
e10075,c72
e10075,c74
e10075,c77
e10075,c8
e10075,c83
e10075,c89
e10075,c91
e100751,c65
e10076,c160
e10076,c29
e100765,c160
e100765,c50
e100765,c71
e100765,c72
e100768,c160
e100768,c71
e100769,c160
e100769,c71
e10077,c160
e100781,c160
e100821,c108
e100821,c136
e100821,c159
e100821,c160
e100821,c27
e100821,c29
e100821,c65
e100821,c74
e10083,c160
e100837,c160
e100840,c160
e100845,c72
e10086,c74
e100863,c160
e100863,c71
e100869,c160
e100869,c29
e100870,c159
e100870,c160
e100870,c53
e100879,c53
e100883,c53
e1009,c157
e1009,c160
e1009,c29
e1009,c53
e1009,c65
e10090,c159
e10090,c160
e10090,c72
e100928,c160
e100928,c51
e100928,c65
e100937,c142
e100937,c160
e10094,c159
e10094,c160
e10094,c27
e10094,c29
e10094,c4
e100948,c142
e100948,c160
e100949,c142
e100949,c160
e100950,c142
e100950,c160
e100950,c65
e100967,c160
e100967,c29
e100967,c71
e10097,c160
e10097,c53
e100979,c159
e100979,c29
e10098,c160
e10098,c53
e10098,c7
e1010,c157
e1010,c160
e1010,c29
e1010,c65
e1010,c7
e1010,c8
e10100,c160
e10100,c29
e10100,c53
e10101,c160
e10101,c53
e101019,c53
e10102,c160
e10102,c51
e101034,c147
e101042,c160
e101042,c29
e101044,c160
e101058,c160
e101058,c29
e101071,c29
e101079,c7
e1011,c159
e101102,c13
e101102,c27
e101108,c142
e101108,c37
e101113,c142
e101113,c37
e101115,c142
e101115,c37
e10113,c160
e10113,c53
e101134,c126
e101134,c143
e101134,c158
e101134,c160
e101134,c21
e101134,c53
e101134,c72
e101140,c159
e101141,c159
e101157,c159
e101157,c160
e101166,c160
e101166,c27
e101166,c29
e101166,c51
e101182,c142
e101182,c160
e101182,c29
e101186,c53
e101197,c108
e101197,c53
e1012,c159
e101200,c53
e101202,c136
e101202,c160
e101202,c29
e101202,c53
e101213,c160
e101214,c160
e101227,c142
e101227,c150
e101227,c160
e101227,c29
e101227,c74
e101229,c115
e101229,c129
e101229,c134
e101229,c136
e101229,c138
e101229,c143
e101229,c159
e101229,c160
e101229,c163
e101229,c27
e101229,c29
e101229,c51
e101229,c53
e101229,c65
e101229,c72
e101229,c91
e101243,c108
e101243,c123
e101243,c143
e101243,c150
e101243,c160
e101243,c27
e101243,c37
e101243,c51
e101243,c53
e101243,c7
e101243,c72
e101243,c74
e101243,c88
e101257,c160
e101257,c51
e101274,c147
e101289,c50
e101289,c72
e1013,c122
e1013,c159
e101312,c108
e101312,c13
e101312,c146
e101312,c160
e101312,c51
e101312,c65
e101318,c160
e101318,c65
e101319,c160
e101319,c65
e101327,c159
e101330,c159
e101333,c123
e101333,c143
e101333,c159
e101333,c160
e101333,c29
e101333,c50
e101333,c53
e101333,c56
e101336,c159
e101354,c65
e101357,c160
e101358,c160
e101367,c147
e101367,c159
e101367,c160
e101367,c29
e101367,c51
e101367,c53
e101367,c7
e101367,c74
e101379,c160
e101388,c128
e101388,c160
e101389,c141
e101389,c147
e101389,c159
e101389,c160
